"x","y"
0.9971617,0.0004475
0.991445,0.0014106
0.9797932,0.0034249
0.9663588,0.0057686
0.9523577,0.0081775
0.9383083,0.0105362
0.9242647,0.0128148
0.9102067,0.0150103
0.8961176,0.0171288
0.8819888,0.0191793
0.8678195,0.0211717
0.8536187,0.0231136
0.8393916,0.0250103
0.825148,0.0268661
0.8108995,0.0286802
0.7966475,0.0304517
0.7823913,0.0321801
0.7681298,0.0338655
0.7538643,0.0355079
0.7395982,0.037106
0.7253338,0.0386578
0.7110701,0.0401612
0.6968026,0.0416155
0.6825279,0.0430214
0.6682461,0.0443799
0.6539609,0.0456912
0.6396759,0.0469538
0.6253913,0.0481661
0.6111068,0.0493268
0.5968198,0.0504351
0.5825289,0.0514911
0.5682355,0.0524947
0.5539427,0.0534449
0.5396529,0.0543397
0.5253665,0.0551772
0.5110819,0.0559554
0.4967974,0.0566733
0.4825124,0.0573302
0.4682283,0.0579254
0.4539486,0.0584574
0.4396755,0.0589234
0.4254095,0.0593208
0.4111495,0.059647
0.3968944,0.0599001
0.3826442,0.0600783
0.3684008,0.0601801
0.3541681,0.0602025
0.3399488,0.0601421
0.325743,0.0599948
0.3115507,0.0597572
0.2973731,0.0594258
0.2832115,0.0589969
0.2690702,0.0584668
0.2549535,0.05783
0.2408628,0.0570808
0.2267983,0.0562135
0.2127601,0.0552231
0.1987518,0.054105
0.1847867,0.0528537
0.1708755,0.0514596
0.1570245,0.049912
0.1432428,0.0481994
0.1295414,0.0463099
0.1159479,0.0442306
0.1024938,0.0419421
0.0892078,0.0394213
0.0761377,0.0366451
0.0633656,0.033591
0.0510438,0.0302434
0.0394271,0.026609
0.0289947,0.0227912
0.0203915,0.0190305
0.0139279,0.0155847
0.0093543,0.0125447
0.0061529,0.009826
0.0038957,0.0073899
0.0022827,0.0052273
0.0011248,0.0033252
0.0003594,0.001603
2.1e-06,2.25e-05
7.14e-05,-0.001498
0.0006107,-0.0030037
0.0016125,-0.004438
0.0031182,-0.0056613
0.0051969,-0.006496
0.0079428,-0.0069315
0.011688,-0.0071963
0.0170433,-0.0075298
0.0245557,-0.0077884
0.0343726,-0.0075158
0.0464341,-0.0066714
0.059301,-0.005437
0.0722736,-0.0038149
0.0853919,-0.0018003
0.0986617,0.0005587
0.1120806,0.0032134
0.1256549,0.0061107
0.1393627,0.0091954
0.1531855,0.0124201
0.1671352,0.0157438
0.1811065,0.0190841
0.1949347,0.0223359
0.2086265,0.0254374
0.2222547,0.0283646
0.2358637,0.031109
0.2494552,0.0336573
0.263056,0.036
0.276711,0.0381453
0.2904311,0.0401052
0.3042136,0.0418898
0.3180502,0.0435088
0.3319254,0.0449673
0.3458323,0.0462691
0.359768,0.0474178
0.3737314,0.0484175
0.3877227,0.0492729
0.401742,0.0499893
0.415788,0.0505724
0.4298585,0.0510278
0.4439487,0.0513607
0.4580521,0.0515744
0.4721665,0.0516716
0.4862912,0.0516548
0.5004276,0.0515269
0.5145808,0.051292
0.5287534,0.0509562
0.5429443,0.0505254
0.5571514,0.0500061
0.5713622,0.049403
0.5855668,0.0487163
0.5997643,0.047945
0.6139543,0.0470882
0.6281405,0.0461452
0.6423268,0.0451172
0.6565136,0.044006
0.6707016,0.0428135
0.6848949,0.0415419
0.6990995,0.0401954
0.7133163,0.0387796
0.727545,0.0372999
0.7417826,0.0357618
0.756026,0.0341694
0.7702761,0.032526
0.7845297,0.0308356
0.7987819,0.0291003
0.8130313,0.0273212
0.8272783,0.0254989
0.8415234,0.0236346
0.8557671,0.0217292
0.87,0.0197852
0.8842038,0.0178004
0.8983722,0.0157663
0.9125279,0.0136728
0.926692,0.0115209
0.9408708,0.0093159
0.9550477,0.0070701
0.9691593,0.0048097
0.9826235,0.0026634
0.9942706,0.0008501
1,-1.25e-05
