sim,CL,CD,CM
15,1.32609077095396,0.00571890943617584,-0.275709821447872
3,1.93470518327694,0.00984809985785102,-0.345615325903191
12,1.03403884291611,0.044419579380644,-0.163070650325501
6,1.8302637007057,0.0274121786150533,-0.284102310466071
5,1.03637224753899,0.00738397370373403,-0.186073607466953
24,NaN,NaN,NaN
11,1.86704684286397,0.0211035583226461,-0.172445860650552
2,NaN,NaN,NaN
23,1.26584414919281,0.00986106613440569,-0.131058416367785
4,1.1321274968775,0.19638335361835,-0.272624889646848
1,1.66207619418289,0.024369573021438,-0.197914327361356
10,NaN,NaN,NaN
22,NaN,NaN,NaN
64,NaN,NaN,NaN
184,0.812567056391348,0.0605405607134689,-0.155259135744698
63,0.738202439484843,0.00596503021948031,-0.0399511235364476
44,NaN,NaN,NaN
84,NaN,NaN,NaN
43,1.78578487859924,0.0156214141626495,-0.226181946261422
183,NaN,NaN,NaN
62,NaN,NaN,NaN
83,1.05819176808262,0.00974819402467608,-0.0925178046499318
61,NaN,NaN,NaN
82,NaN,NaN,NaN
60,NaN,NaN,NaN
81,NaN,NaN,NaN
59,NaN,NaN,NaN
80,NaN,NaN,NaN
79,1.43404068832543,0.01291114570417,-0.0461798693685894
58,1.55417726976326,0.0203525296051931,-0.181756342799201
78,1.58298309061404,0.0164770525799271,-0.275440326325645
57,1.71023632708097,0.0111240308886185,-0.31134129011136
77,NaN,NaN,NaN
76,NaN,NaN,NaN
75,2.03324459579239,0.0111505391839176,-0.420761037595074
21,NaN,NaN,NaN
9,NaN,NaN,NaN
18,NaN,NaN,NaN
14,NaN,NaN,NaN
20,0.369691093349059,0.0673162696341869,-0.116676136140175
74,NaN,NaN,NaN
8,NaN,NaN,NaN
7,1.69697040911923,0.0200817122425695,-0.0550560483260791
17,NaN,NaN,NaN
19,2.01863122387244,0.0472086192130747,-0.216708415369645
13,NaN,NaN,NaN
73,NaN,NaN,NaN
72,0.71874169986846,0.0535211587805911,-0.102176099051881
104,1.07052871029846,0.179351871153522,-0.247863676035489
16,NaN,NaN,NaN
164,NaN,NaN,NaN
71,1.83604960897814,0.00792178510682883,-0.307940889006711
124,NaN,NaN,NaN
103,1.54677211829884,0.0117330259774121,-0.15231344466688
123,1.46045864321964,0.011240102167551,-0.192396473023043
163,1.67506078327647,0.0152194486578691,-0.213105969275268
144,NaN,NaN,NaN
182,NaN,NaN,NaN
42,NaN,NaN,NaN
102,1.33330117449728,0.0358492592033562,-0.292225850278676
122,NaN,NaN,NaN
162,NaN,NaN,NaN
143,2.15965016201214,0.0931001406456607,-0.263834498446329
181,NaN,NaN,NaN
41,NaN,NaN,NaN
142,1.41540153865696,0.0207863648274709,-0.159507728312971
180,NaN,NaN,NaN
40,NaN,NaN,NaN
141,NaN,NaN,NaN
39,1.98405500796413,0.00844594601793673,-0.384847830835466
38,NaN,NaN,NaN
37,NaN,NaN,NaN
56,NaN,NaN,NaN
36,NaN,NaN,NaN
55,2.12048435727024,0.0307101854843451,-0.269496488801672
54,0.778500589181774,0.0102954065304408,-0.124071637523336
53,2.27830607495137,0.0236749105972064,-0.387475374607303
52,NaN,NaN,NaN
51,0.835970272972566,0.0054250451308905,-0.182778809298145
50,NaN,NaN,NaN
70,NaN,NaN,NaN
101,NaN,NaN,NaN
69,NaN,NaN,NaN
161,NaN,NaN,NaN
121,NaN,NaN,NaN
68,NaN,NaN,NaN
100,NaN,NaN,NaN
160,-0.10660437893402,0.0747325643352403,-0.00743157052243358
99,1.69723022426698,0.0082178003255075,-0.327992919886132
159,1.99347746021663,0.0151058584717317,-0.307184754378923
120,NaN,NaN,NaN
179,NaN,NaN,NaN
119,0.617937614031321,0.00543894593697105,-0.118650782284018
67,NaN,NaN,NaN
140,NaN,NaN,NaN
139,1.04216706755556,0.0094087846475634,-0.117380658177362
178,1.4086323347159,0.0856031162350992,-0.225499045078134
118,NaN,NaN,NaN
66,NaN,NaN,NaN
138,NaN,NaN,NaN
177,NaN,NaN,NaN
65,0.377323758746864,0.00899254074032369,-0.0214908191083456
137,NaN,NaN,NaN
176,1.19684956691975,0.214934881490638,-0.26748291001374
35,NaN,NaN,NaN
175,0.622635110349026,0.00598507015743558,-0.0877693733666895
136,NaN,NaN,NaN
174,NaN,NaN,NaN
34,NaN,NaN,NaN
135,1.1557288191419,0.00571440037617369,-0.21482719464831
33,1.44660598581836,0.011555041530924,-0.214732852046751
134,NaN,NaN,NaN
32,NaN,NaN,NaN
31,NaN,NaN,NaN
30,1.16779563733035,0.0121829468985768,-0.230074920551051
49,NaN,NaN,NaN
29,2.00301505296896,0.0109402027116619,-0.327439020042965
48,0.634311096225429,0.0949175301965261,-0.168241437408065
47,2.07054395805712,0.0190912944821017,-0.154450282508492
46,2.20602095002763,0.0267708456732618,-0.37643948468034
45,0.521153623272086,0.0073074317225951,-0.0752453736000955
194,1.38632514999337,0.103222223471629,-0.208212429234032
98,NaN,NaN,NaN
158,NaN,NaN,NaN
97,NaN,NaN,NaN
157,NaN,NaN,NaN
117,NaN,NaN,NaN
96,0.902728285127773,0.0902967751372281,-0.16927395881194
156,0.802875388902088,0.0578686814830544,-0.190676561733771
95,1.39055813158451,0.00630443981566597,-0.240403440073449
214,NaN,NaN,NaN
116,NaN,NaN,NaN
155,1.8773381774064,0.0194689759228661,-0.137758225960793
